element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ne,1,"=""1540.9058""","=""0.0006""","=""1540.9058""","=""0.0003""","=""6""","=""3.21e+04""",C+,"=""163038.3544""","=""169526.2708""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1543.1122""","=""0.0007""","=""1543.1121""","=""0.0003""","=""4""","=""3.78e+04""",C+,"=""163038.3544""","=""169516.9948""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1545.0863""","=""0.0003""","=""1545.0865""","=""0.0003""","=""11""","=""3.49e+05""",C+,"=""163012.6247""","=""169482.9862""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T6976""","=""L9097""",
Ne,1,"=""1545.12285""","=""0.00017""","=""1545.1231""","=""0.0003""","=""110""","=""1.02e+06""",B,"=""163038.3544""","=""169508.5627""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ne,1,"=""1546.62267""","=""0.00019""","=""1546.6227""","=""0.0003""","=""25""","=""1.40e+05""",C+,"=""163038.3544""","=""169502.2893""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T6976""","=""L9097""",
Ne,1,"=""1549.9484""","=""0.0002""","=""1549.9485""","=""0.0003""","=""23""","=""3.49e+05""",C+,"=""163038.3544""","=""169488.4193""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""1550.0897""","=""0.0003""","=""1550.0897""","=""0.0003""","=""13""","=""""",,"=""162517.8755""","=""168967.3526""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Ne,2,"=""1550.7334""","=""0.0014""","=""1550.73403""","=""0.00022""","=""8""","=""""",,"=""306899.2903""","=""313346.0878""","=""2s2.2p4.(3P).5p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).5d""","=""2F""","=""5/2""",,"=""""","=""L11301""",
Ne,2,"=""1554.71550""","=""0.00013""","=""1554.71553""","=""0.00012""","=""468""","=""""",,"=""302307.7230""","=""308738.0108""","=""2s2.2p4.(3P).4d""","=""2D""","=""5/2""","=""2s2.2p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L11301""",
Ne,1,"=""1560.42140""","=""0.00017""","=""1560.4215""","=""0.0003""","=""65""","=""""",,"=""162517.8755""","=""168924.6500""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",,"=""""","=""L9097""",
Ne,1,"=""1576.1050""","=""0.0004""","=""1576.1054""","=""0.0004""","=""4""","=""3.19e+04""",C,"=""161524.1739""","=""167867.1941""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",,"=""T6976""","=""L9097""",
